<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GAS,20180618,84.2794,84.5455,79.8436,79.8436,804300
GAS,20180615,83.3922,85.0778,83.3922,85.0778,424790
GAS,20180614,86.0537,86.9408,83.3922,83.3922,441200
GAS,20180613,82.5050,85.6988,82.5050,85.6988,581410
GAS,20180612,84.8117,85.8762,80.7308,81.7953,975270
GAS,20180611,85.1665,88.6264,84.3680,86.2311,430500
GAS,20180608,88.2715,89.6022,85.1665,86.4972,886300
GAS,20180607,91.3765,91.3765,86.0536,88.3602,1220730
GAS,20180606,89.6022,91.6427,87.8279,91.2878,610180
GAS,20180605,81.6179,87.5618,81.5291,87.5618,1375130
GAS,20180604,82.4164,83.0374,80.7308,81.8840,948070
GAS,20180601,81.6179,82.7712,81.1744,82.0615,632800
GAS,20180531,80.7308,82.5051,80.1985,80.1985,1078930
GAS,20180530,85.1665,85.1665,79.2226,79.2226,1176750
GAS,20180529,80.9082,88.6264,80.9082,85.1665,1241130
GAS,20180528,86.9408,88.7151,86.9408,86.9408,479870
GAS,20180525,97.5866,98.4738,93.4170,93.4170,479980
GAS,20180524,100.6916,102.1111,95.9010,100.4255,285680
GAS,20180523,93.5944,100.5142,93.1509,100.5142,600060
GAS,20180522,95.8123,98.0302,90.6668,93.9493,464230
GAS,20180521,104.2403,104.2403,96.2559,96.2559,441810
GAS,20180518,102.9095,103.7967,96.7882,102.0224,780910
GAS,20180517,107.3453,108.2324,102.9095,102.9095,403650
GAS,20180516,102.9095,106.6355,102.9095,106.1920,606740
GAS,20180515,105.5710,107.7888,105.2161,105.2161,678850
GAS,20180514,98.6512,104.6838,98.6512,104.6838,617860
GAS,20180511,93.1509,98.5625,90.9330,98.5625,810690
GAS,20180510,97.6753,99.8045,93.1508,93.1509,879660
GAS,20180509,92.2638,97.4092,91.8202,95.3687,820800
GAS,20180508,91.8201,94.0380,90.4894,91.3766,798500
GAS,20180507,89.6023,91.8201,87.5618,91.8201,426370
GAS,20180504,86.9408,90.3120,85.6988,86.9408,686180
GAS,20180503,85.6101,88.7151,85.6101,85.6101,1512540
GAS,20180502,93.1508,95.8123,91.9975,91.9976,284180
GAS,20180427,102.9095,106.1920,98.9173,98.9173,953420
GAS,20180426,114.3537,114.8860,106.2806,106.2807,1075280
GAS,20180424,110.6277,114.8860,104.6838,114.2650,642240
GAS,20180423,118.6121,120.6525,110.6277,110.6277,925000
GAS,20180420,113.7327,118.8782,113.7327,118.8782,947250
GAS,20180419,116.0393,117.2813,113.6440,114.7086,1152430
GAS,20180418,114.6199,115.0635,112.7569,114.7086,804260
GAS,20180417,112.6682,114.0876,110.0067,113.5553,646850
GAS,20180416,114.8860,114.8860,111.9584,112.9343,379940
GAS,20180413,117.1039,117.1039,111.7810,113.5553,410160
GAS,20180412,113.5553,115.7732,111.7810,115.7732,791540
GAS,20180411,116.6604,117.5476,112.2246,112.2246,819030
GAS,20180410,115.3296,116.6604,114.8861,114.8861,594310
GAS,20180409,113.6440,116.2168,113.5553,115.1522,419850
GAS,20180406,115.3296,117.9024,113.9989,115.1522,327230
GAS,20180405,115.3296,116.2168,112.3133,115.2409,1029020
GAS,20180404,119.6767,119.7654,114.4425,115.3296,851340
GAS,20180403,120.7413,120.7413,117.9911,117.9911,738610
GAS,20180402,117.1039,121.0074,116.8377,120.7413,811810
GAS,20180330,112.6682,116.8378,112.2246,116.5716,606010
GAS,20180329,112.6682,112.8456,111.3375,112.2246,254020
GAS,20180328,112.5794,113.1117,111.3374,112.6682,420920
GAS,20180327,117.1040,117.9911,111.6036,112.4907,854590
GAS,20180326,115.3297,120.4751,114.9748,114.9748,960430
GAS,20180323,114.8861,117.1039,113.9989,116.1281,722160
GAS,20180322,115.1522,119.6767,114.2650,118.7008,898250
GAS,20180321,113.5553,114.9747,112.2246,112.8456,621450
GAS,20180320,112.2246,114.4425,111.7810,111.7810,619750
GAS,20180319,112.6681,114.8860,112.2246,113.9989,727400
GAS,20180316,107.3453,113.5554,106.2807,113.5553,1231950
GAS,20180315,103.7966,107.3452,102.9095,107.3453,577980
GAS,20180314,102.0224,105.1274,101.6675,104.8612,816130
GAS,20180313,103.0869,103.0869,101.0465,102.0224,218290
GAS,20180312,102.9095,103.6192,101.1352,103.0869,504770
GAS,20180309,101.8449,102.4659,99.3609,99.3609,606610
GAS,20180308,100.3367,103.7079,100.3367,101.6675,301630
GAS,20180307,103.7967,104.5064,98.9174,101.8449,718330
GAS,20180306,102.0224,103.9741,100.2481,103.7967,806110
GAS,20180305,105.5710,106.7243,99.3609,99.3609,822020
GAS,20180302,101.1352,104.6838,101.1352,103.7967,923410
GAS,20180301,100.2481,104.1515,99.3609,102.9095,875090
GAS,20180228,99.8044,101.3126,98.9173,101.0465,721370
GAS,20180227,102.9096,102.9096,99.8932,100.6916,608620
GAS,20180226,98.9174,104.6839,98.9174,100.2481,845250
GAS,20180223,96.6995,98.9173,95.1026,98.4738,748160
